year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,solar_modulation,volcanic_forcing
-7400,0.036,0.04497087772998608,0.05591961555264305,1.0,1.0,0.9804804804804805,1.0,1.0,0.417621776504298,0.8843233586422511
-7350,-0.309,0.04424554099240549,0.054608999563128,1.0,1.0,0.982982982982983,0.9919234299200212,1.0,0.5100286532951289,0.8923626619026351
-7300,-0.112,0.040132881690324446,0.04980340760157273,1.0,1.0,0.9853186519853186,0.9838468598400424,1.0,0.3832378223495702,0.9280928986154534
-7250,0.101,0.036027475755619445,0.044560943643512436,1.0,1.0,0.9878211544878212,0.9757702897600635,1.0,0.579512893982808,0.9678427869584636
-7200,-0.009,0.0319148164535384,0.03975535168195717,1.0,1.0,0.9901568234901569,0.9676937196800848,1.0,0.5936002865329513,0.9294327824921841
-7150,-0.101,0.02212277049620254,0.027522935779816512,1.0,1.0,0.9926593259926593,0.9596171496001059,1.0,0.5673352435530086,1.0
-7100,-0.2,0.012330724538867091,0.01529051987767583,1.0,1.0,0.9951618284951619,0.951540579520127,0.9500000000011368,0.5587392550143266,0.743188923626619
-7050,-0.176,0.020309428652251486,0.02533857579729139,1.0,1.0,0.9974974974974975,0.9434640094401452,0.9500000000011368,0.32736389684813755,0.8396605627512282
-7000,-0.023,0.02212277049620254,0.027522935779816512,1.0,1.0,1.0,0.9353874393601664,0.9500000000011368,0.32425931232091687,0.9160339437248771
-6950,-0.265,0.023936112340153595,0.02970729576234161,1.0,1.0,0.9499499499499501,0.9265241903762942,0.9500000000011368,0.5995702005730659,0.9915140687807057
-6900,-0.179,0.017045413333139667,0.021406727828746173,1.0,1.0,0.8998998998998998,0.9176871640225512,0.9500000000011368,0.6389684813753581,0.6677087985707906
-6850,-0.032,0.010154714326125743,0.012669287898645683,1.0,1.0,0.8500166833500167,0.9088239150386775,0.9500000000011368,0.8123209169054441,0.9383653416703887
-6800,-0.125,0.020309428652251486,0.02533857579729139,1.0,1.0,0.7999666332999666,0.8999606660548054,0.9500000000011368,0.7239727793696276,0.9883876730683342
-6750,-0.097,0.03046414297837764,0.038007863695937075,1.0,0.9444444444444443,0.7499165832499165,0.8910974170709317,0.9500000000011368,0.7800859598853868,0.9374720857525681
-6700,-0.013,0.027802157151457355,0.03451288772389688,1.0,0.9444444444444443,0.6998665331998665,0.8822341680870596,0.9500000000011368,0.75,0.7896382313532827
-6650,-0.382,0.025147424691913115,0.031454783748361706,1.0,0.9444444444444443,0.6499833166499833,0.8733971417333151,0.9500000000011368,0.5272206303724928,0.04957570343903518
-6600,0.012,0.022485438864992834,0.027959807776321538,1.0,0.9444444444444443,0.5999332665999333,0.8645338927494429,0.9500000000011368,0.45319914040114606,0.9816882536846807
-6550,0.008,0.024661449077734182,0.03058103975535166,1.0,0.9444444444444443,0.5498832165498833,0.8556706437655692,0.9500000000011368,0.6017191977077364,0.7168378740509157
-6500,0.009,0.02683745929047553,0.03363914373088683,1.0,0.9444444444444443,0.5,0.846807394781697,0.9500000000011368,0.498567335243553,0.9745422063421171
