year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation
-740000,-3.559,0.046569526464439036,0.06954492415402569,0.15217391304347824,0.7804878048780485,0.43695971293426844,0.596730758211985,0.04481132075472615
-738000,-4.005,0.034098411766863575,0.05110851808634769,0.19565217391304346,0.7560975609756094,0.550318055782091,0.6472263831250151,0.061320754717000735
-736000,-4.452,0.10865000183398747,0.1565927654609101,0.23913043478260868,0.6829268292682923,0.6599249714565324,0.6893974739909472,0.08254716981137293
-734000,-4.899,0.17585647214173053,0.24434072345390898,0.28260869565217395,0.609756097560975,0.7669221986625346,0.6974846319442741,0.10849056603784273
-732000,-4.801,0.1525969262370246,0.21470245040840139,0.32608695652173914,0.5121951219512189,0.87245147610504,0.6352020561680949,0.13443396226417845
-730000,-4.704,0.15888750320947803,0.22263710618436405,0.3695652173913044,0.43902439024390305,0.9770021203718807,0.5258617161473039,0.16273584905663002
-728000,-4.606,0.15355976965117554,0.2158693115519253,0.3913043478260869,0.3414634146341468,0.05561898548360789,0.38893663695372777,0.1957547169811792
-726000,-4.509,0.15035029160400545,0.21166861143523916,0.4347826086956522,0.2682926829268296,0.15853857445767414,0.269626500994524,0.22877358490572836
-724000,-4.411,0.15477478634046146,0.2175029171528588,0.47826086956521735,0.21951219512195153,0.2608057413146306,0.22459871162078734,0.2617924528302775
-722000,-4.314,0.16289018083116308,0.2277712952158693,0.5,0.19512195121951245,0.3627466971130321,0.2511111656803281,0.29716981132080844
-720000,-4.216,0.1867182628470821,0.25787631271878647,0.5434782608695653,0.21951219512195153,0.4638721252650465,0.36723718782997333,0.3301886792453576
-718000,-4.119,0.14946997762535302,0.21050175029171528,0.5652173913043478,0.24390243902439057,0.5645082368292285,0.5184375741800292,0.36084905660379096
-716000,-4.021,0.07592708065876831,0.111318553092182,0.5869565217391305,0.31707317073170777,0.6646550318055783,0.655387209521237,0.3915094339623584
-714000,-3.924,0.18956552837178595,0.261610268378063,0.6304347826086957,0.3902439024390249,0.7639862991355407,0.7381741685697684,0.4221698113207917
-712000,-4.179,0.22392986831970071,0.30361726954492413,0.6521739130434784,0.4634146341463421,0.8623389332898386,0.7165074609761886,0.4504716981132433
-710000,-4.152,0.2165893335289587,0.29474912485414234,0.673913043478261,0.560975609756097,0.9595498287391943,0.6272704204831012,0.4787735849056948
-708000,-4.552,0.2457038843854308,0.3295215869311552,0.6956521739130435,0.6341463414634141,0.373022345457511,0.4927027314621548,0.5047169811320306
-706000,-4.382,0.26317719986795296,0.3500583430571762,0.6956521739130435,0.7073170731707313,0.1273854183656826,0.3718864851148818,0.5283018867925185
-704000,-4.11,0.2689038256978323,0.3565927654609102,0.7173913043478262,0.7560975609756094,0.22231283640515415,0.32461590092412984,0.5471698113207749
-702000,-3.81,0.25288394527381436,0.3379229871645274,0.7391304347826088,0.7804878048780485,0.3170771489153482,0.3506126758834075,0.5660377358490313
-700000,-3.487,0.2533516120749735,0.3386231038506418,0.7391304347826088,0.7804878048780485,0.4115152503669875,0.4712652145798035,0.5801886792453241
-698000,-3.389,0.27812419763048823,0.3670945157526254,0.7608695652173914,0.7560975609756094,0.5061164573479041,0.6328774075256407,0.5919811320755011
-696000,-3.353,0.28833492278912815,0.3787631271878646,0.7608695652173914,0.7073170731707313,0.6005545587995433,0.786025914921134,0.5990566037735805
-694000,-3.379,0.2794125738179951,0.3687281213535589,0.7608695652173914,0.6585365853658531,0.6951557657804599,0.8850772290843015,0.6037735849056781
-692000,-3.653,0.2864550856472142,0.37666277712952156,0.7608695652173914,0.609756097560975,0.7902462893492089,0.8649248172613351,0.6061320754716598
-690000,-3.742,0.28714283094303644,0.3773628938156359,0.7608695652173914,0.5365853658536579,0.8851737073886804,0.7558218533343154,0.6061320754716598
-688000,-4.191,0.2571663059824671,0.3430571761960326,0.7608695652173914,0.4634146341463421,0.6390474637090198,0.5657981975787638,0.6014150943396963
-686000,-4.345,0.2208808641748891,0.2998833138856476,0.7608695652173914,0.41463414634146395,0.0513782417223944,0.36772012540006044,0.5943396226414829
-684000,-4.727,0.20200913325752853,0.2770128354725787,0.7391304347826088,0.36585365853658586,0.14712118740825314,0.22725896094754,0.5825471698113058
-682000,-5.343,0.2103216813996993,0.2870478413068845,0.7391304347826088,0.3414634146341468,0.24302723862338935,0.16265173652890655,0.5707547169811289
-680000,-6.223,0.21172009683453763,0.2889148191365228,0.7173913043478262,0.31707317073170777,0.3387701843092481,0.21648699751982894,0.5495283018867567
-678000,-5.338,0.2511737519715366,0.33605600933488916,0.6956521739130435,0.31707317073170777,0.4346762355243843,0.33985708322078423,0.5283018867925185
-676000,-5.783,0.18958386824634116,0.261610268378063,0.6956521739130435,0.3414634146341468,0.5299298646224108,0.5073381954505644,0.5047169811320306
-674000,-5.341,0.1807853134284562,0.25064177362893814,0.673913043478261,0.36585365853658586,0.6251834937204371,0.6610433088590397,0.476415094339579
-672000,-6.325,0.11706341928621214,0.16779463243873977,0.6521739130434784,0.41463414634146395,0.7201109117599087,0.7406543394805558,0.44575471698114566
-670000,-6.862,0.08502824340681504,0.12415402567094512,0.6086956521739131,0.4634146341463421,0.8143859076822705,0.7484058967495848,0.4150943396227123
-668000,-6.556,0.05603748670359099,0.08308051341890312,0.5869565217391305,0.5121951219512189,0.9076822704289675,0.6712177393610492,0.38207547169816314
-666000,-7.163,0.0,0.0,0.5652173913043478,0.585365853658536,1.0,0.5635062904664851,0.3466981132076322
